Opened,Open,High,Low,Close,Volume
2021-09-27 19:50:00,60.758,60.997,60.636,60.821,15123.0
2021-09-27 19:55:00,60.822,60.822,60.543,60.543,17218.4
2021-09-27 20:00:00,60.543,60.543,60.002,60.161,60505.2
2021-09-27 20:05:00,60.161,60.412,59.986,60.412,46782.0
2021-09-27 20:10:00,60.411,60.412,60.131,60.291,14793.3
2021-09-27 20:15:00,60.301,60.689,60.180,60.524,23652.9
2021-09-27 20:20:00,60.527,60.900,60.436,60.826,21229.2
2021-09-27 20:25:00,60.823,61.500,60.814,61.413,48867.6
2021-09-27 20:30:00,61.413,61.438,61.131,61.184,29925.9
2021-09-27 20:35:00,61.172,61.211,60.862,60.966,18940.6
2021-09-27 20:40:00,60.959,61.141,60.831,60.931,18811.9
2021-09-27 20:45:00,60.931,61.158,60.724,60.898,28997.4
2021-09-27 20:50:00,60.884,60.934,60.525,60.576,38079.3
2021-09-27 20:55:00,60.594,60.602,60.189,60.362,27766.8
2021-09-27 21:00:00,60.358,60.852,60.108,60.776,32987.7
2021-09-27 21:05:00,60.784,60.962,60.682,60.910,22553.8
2021-09-27 21:10:00,60.919,61.066,60.784,61.004,37498.3
2021-09-27 21:15:00,61.004,61.046,60.715,60.715,25349.4
2021-09-27 21:20:00,60.747,61.022,60.713,60.981,15322.0
2021-09-27 21:25:00,60.979,61.344,60.938,61.300,18025.1
2021-09-27 21:30:00,61.301,61.319,61.127,61.180,15907.4
2021-09-27 21:35:00,61.181,61.290,61.177,61.178,13368.6
2021-09-27 21:40:00,61.184,61.184,61.060,61.081,10737.0
2021-09-27 21:45:00,61.080,61.638,61.080,61.620,19231.1
2021-09-27 21:50:00,61.620,61.695,61.368,61.553,39997.1
2021-09-27 21:55:00,61.553,61.593,61.390,61.549,15384.6
2021-09-27 22:00:00,61.549,61.723,61.298,61.722,25739.1
2021-09-27 22:05:00,61.723,62.067,61.664,61.784,40621.4
